Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.7454905213721786, T = 0.7615580728526988
x = 0.7474945281500608, T = 0.7634570166099233
x = 0.7494985349279429, T = 0.7653553761021328
x = 0.7515025417058252, T = 0.7672531558231659
x = 0.7535065484837074, T = 0.7691503602965741
x = 0.7555105552615896, T = 0.771046994075623
x = 0.7575145620394718, T = 0.7729430617432909
x = 0.759518568817354, T = 0.7748385679122697
x = 0.7615225755952362, T = 0.7767335172249646
x = 0.7635265823731184, T = 0.7786279143534945
x = 0.7655305891510006, T = 0.7805217639996911
x = 0.7675345959288828, T = 0.7824150708950999
x = 0.769538602706765, T = 0.7843078398009795
x = 0.7715426094846471, T = 0.7862000755083021
x = 0.7735466162625294, T = 0.7880917828377532
x = 0.7755506230404116, T = 0.7899829666397313
x = 0.7775546298182938, T = 0.7918736317943487
x = 0.779558636596176, T = 0.7937637832114309
x = 0.7815626433740582, T = 0.795653425830517
x = 0.7835666501519404, T = 0.797542564620859
x = 0.7855706569298226, T = 0.7994312045814225
x = 0.7875746637077048, T = 0.8013193507408863
x = 0.789578670485587, T = 0.8032070081576432
x = 0.7915826772634692, T = 0.8050941819197986
x = 0.7935866840413514, T = 0.8069808771451714
x = 0.7955906908192336, T = 0.8088670989812942
x = 0.7975946975971158, T = 0.8107528526054125
x = 0.799598704374998, T = 0.8126381432244861
x = 0.8016027111528802, T = 0.8145229760751865
x = 0.8036067179307624, T = 0.8164073564239003
x = 0.8056107247086446, T = 0.8182912895667264
x = 0.8076147314865268, T = 0.8201747808294775
x = 0.809618738264409, T = 0.8220578355676795
x = 0.8116227450422913, T = 0.8239404591665713
x = 0.8136267518201734, T = 0.8258226570411061
x = 0.8156307585980556, T = 0.8277044346359498
x = 0.8176347653759378, T = 0.8295857974254817
x = 0.81963877215382, T = 0.8314667509137941
x = 0.8216427789317022, T = 0.8333473006346938
x = 0.8236467857095844, T = 0.8352274521516998
x = 0.8256507924874666, T = 0.8371072110580451
